precision,recall,threshold
0.0355625,1.0,7.4515101414832e-05
0.0355647227951747,1.0,8.314592025144704e-05
0.03556694586823353,1.0,9.768699642623511e-05
0.035569169219228605,1.0,0.00010902677080690804
0.035571392848212056,1.0,0.00011192171853070317
0.03557361675523601,1.0,0.00011258297760819082
0.035575840940352634,1.0,0.00011400657576074268
0.03557806540361408,1.0,0.00013757688758839364
0.03558029014507254,1.0,0.00014551653444417036
0.03558251516478019,1.0,0.0001576215950240805
0.03558474046278924,1.0,0.00016121341489827207
0.035589191893920444,1.0,0.000162178942601369
0.035591418027147055,1.0,0.00016231337903655567
0.03559364443888402,1.0,0.00016257650537005415
0.03559587112918361,1.0,0.00016327508909444027
0.0355980980980981,1.0,0.0001663647785617735
0.035600325345679786,1.0,0.00017073040700101922
0.035602552871980976,1.0,0.00017381886952515496
0.035604780677054,1.0,0.00017561229788752596
0.035607008760951186,1.0,0.00018215182229573175
0.035609237123724886,1.0,0.00018410260733855047
0.03561146576542746,1.0,0.0001843087916330445
0.03562261315970701,1.0,0.00018493561988892736
0.03562484347608315,1.0,0.00018529475084020795
0.035627074071755055,1.0,0.0001887939086933369
0.03563376753507014,1.0,0.00018985481559261015
0.03564269606614884,1.0,0.00018992458811401775
0.03564716200977321,1.0,0.0001928329642632517
0.03564939540129065,1.0,0.00019375254196335012
0.035651629072681705,1.0,0.00019387516571874158
0.035653863023999,1.0,0.00019834470400882854
0.03565609725529515,1.0,0.00020353381752097205
0.0356583317666228,1.0,0.0002043880802770309
0.035667272613301576,1.0,0.00020707009586687223
0.03566950852557673,1.0,0.0002088885481768245
0.03567398119122257,1.0,0.00021125369269295302
0.035676217944698725,1.0,0.00021997677730359297
0.03567845497868071,1.0,0.0002203874227003463
0.035680692293221294,1.0,0.00022069163433552708
0.03568292988837326,1.0,0.00022290039350895805
0.0356851677641894,1.0,0.00022322802666789856
0.03568740592072253,1.0,0.00022908652384055373
0.03568964435802546,1.0,0.00023096237639879064
0.035691883076151044,1.0,0.00023177538463249253
0.03569412207515212,1.0,0.0002348578960612552
0.03569636135508156,1.0,0.00023524952510747577
0.035698600915992224,1.0,0.00023868837367242547
0.03570084075793701,1.0,0.0002407813877828795
0.03570308088096882,1.0,0.00024343738630252376
0.03570532128514056,1.0,0.0002455591546076708
0.035707561970505175,1.0,0.0002484907688979528
0.0357098029371156,1.0,0.00025120669917281184
0.03571428571428571,1.0,0.0002542821320721929
0.03571652752495135,1.0,0.00025627045086608374
0.0357187696170747,1.0,0.00025635261215034154
0.03572101199070877,1.0,0.000262707957580003
0.03572325464590658,1.0,0.000271971045054355
0.035725497582721165,1.0,0.0002722806154051324
0.035727740801205575,1.0,0.00027350285300537273
0.03572998430141287,1.0,0.00027408550318447887
0.035732228083396135,1.0,0.0002752565063117735
0.03573447214720844,1.0,0.0002757511241714717
0.0357367164929029,1.0,0.00027631136053247687
0.03573896112053263,1.0,0.00027706753433379757
0.035741206030150754,1.0,0.00027743198638981387
0.03574345122181041,1.0,0.000278429351827751
0.03574569669556477,1.0,0.0002785183280153591
0.03574794245146699,1.0,0.00027889618927582054
0.03575018848957024,1.0,0.0002794313659156923
0.03575243480992774,1.0,0.0002800729748419101
0.035754681412592686,1.0,0.0002804992059278744
0.0357569282976183,1.0,0.00028134394057597337
0.035759175465057816,1.0,0.0002861279351306381
0.03576142291496449,1.0,0.0002873613185829326
0.035763670647391575,1.0,0.0002891864951967398
0.03576591866239236,1.0,0.00029079524576166557
0.035768166960020116,1.0,0.00029238467860891193
0.03577041554032816,1.0,0.00029599147989442997
0.0357726644033698,1.0,0.0002965359516560382
0.035774913549198366,1.0,0.0002971622966354384
0.035777162977867205,1.0,0.0002973312986532805
0.03577941268942967,1.0,0.00030262718545107526
0.035781662683939126,1.0,0.000304591359501113
0.03578391296144896,1.0,0.0003049311307201772
0.03578616352201258,1.0,0.0003062732160375527
0.03578841436568338,1.0,0.0003073499342930647
0.035790665492514785,1.0,0.0003079317023324847
0.03579291690256023,1.0,0.00031130012603786415
0.03579516859587317,1.0,0.00031143370134535745
0.03579742057250708,1.0,0.0003122363548565827
0.035799672832515415,1.0,0.0003125287779985655
0.03580192537595168,1.0,0.0003128232945611772
0.035804178202869366,1.0,0.0003146593566471986
0.03580643131332201,1.0,0.0003180410851388847
0.03580868470736312,1.0,0.0003181418837884494
0.03581093838504626,1.0,0.00031818004212542304
0.03581319234642497,1.0,0.00031831996312797897
0.03581544659155284,1.0,0.00031912175516460425
0.03581770112048344,1.0,0.00031946879970837244
0.03581995593327038,1.0,0.00031997579614523243
0.035822211029967264,1.0,0.00032002088871488956
0.03582446641062772,1.0,0.00032059929564862155
0.03582672207530538,1.0,0.00032078151585243327
0.0358289780240539,1.0,0.0003213699254936675
0.035831234256926955,1.0,0.0003214430454354024
0.03583349077397821,1.0,0.00032360580606075095
0.03583574757526137,1.0,0.0003245132251523125
0.03583800466083013,1.0,0.00032477511814778297
0.03584026203073822,1.0,0.00032511551654411874
0.03584251968503937,1.0,0.0003259191834664058
0.03584477762378733,1.0,0.0003274906688450553
0.03584703584703585,1.0,0.0003315060209543396
0.03584929435483871,1.0,0.0003331033042177149
0.0358515531472497,1.0,0.0003338224644031358
0.03585381222432262,1.0,0.000335402568480897
0.03585607158611129,1.0,0.0003360364715716787
0.03585833123266952,1.0,0.0003362453792179147
0.03586059116405117,1.0,0.00033715673459866203
0.0358628513803101,1.0,0.000337879032866199
0.035865111881500156,1.0,0.00034070816191933304
0.035867372667675236,1.0,0.00034227790919296456
0.03586963373888924,1.0,0.0003430458026899955
0.03587189509519607,1.0,0.0003444831365323713
0.03587415673664964,1.0,0.0003461570908840039
0.03587641866330391,1.0,0.0003465828770333496
0.035878680875212815,1.0,0.00035030646746259786
0.03588094337243032,1.0,0.00035081200143267233
0.03588320615501041,1.0,0.0003512413102846077
0.03588546922300706,1.0,0.000352541457691687
0.0358877325764743,1.0,0.0003528619533664699
0.03588999621546613,1.0,0.0003530276911758204
0.03589226014003659,1.0,0.00035380036052529623
0.035894524350239716,1.0,0.0003549687255292792
0.03589678884612958,1.0,0.0003549900523985276
0.035899053627760254,1.0,0.0003553500663330099
0.03590131869518581,1.0,0.00035661523682109687
0.03590358404846038,1.0,0.00035805774736609366
0.03590584968763804,1.0,0.00035835443586917524
0.03590811561277294,1.0,0.00035870562681551953
0.035910381823919216,1.0,0.000359688463061602
0.03591264832113103,1.0,0.00035973959207838456
0.03591491510446254,1.0,0.00036071855661220777
0.035917182173967936,1.0,0.00036118916127260165
0.03591944952970141,1.0,0.00036244119829586245
0.035921717171717174,1.0,0.0003632160615693323
0.03592398510006945,1.0,0.0003638583666467345
0.03592625331481247,1.0,0.0003649518635363897
0.03592852181600051,1.0,0.00036504676484513634
0.0359307906036878,1.0,0.0003652841299733416
0.03593305967792864,1.0,0.0003662346221310498
0.03593532903877732,1.0,0.00036909990735634805
0.03593759868628813,1.0,0.0003701941880498893
0.03593986862051541,1.0,0.0003703260989855241
0.03594213884151349,1.0,0.00037117453857022964
0.0359444093493367,1.0,0.00037138731389070085
0.03594668014403942,1.0,0.00037324588492300664
0.03594895122567602,1.0,0.00037408939025730556
0.03595122259430088,1.0,0.0003753434716767591
0.03595349424996841,1.0,0.0003760270348436673
0.03595576619273302,1.0,0.0003778254731861111
0.03595803842264914,1.0,0.00037935214888069863
0.03596031093977122,1.0,0.00038050221989776846
0.03596258374415371,1.0,0.00038111622045632326
0.035964856835851086,1.0,0.00038383507317789827
0.035967130214917827,1.0,0.0003843052468922461
0.035969403881408436,1.0,0.00038467731260305904
0.03597167783537742,1.0,0.0003851938822761601
0.035973952076879305,1.0,0.0003877347430302882
0.035976226605968636,1.0,0.00038877629239965616
0.03597850142269997,1.0,0.0003889439456629004
0.03598077652712786,1.0,0.00039009311760200246
0.035983051919306897,1.0,0.0003909549464238668
0.035985327599291676,1.0,0.0003922971890326543
0.0359876035671368,1.0,0.0003942048114617233
0.0359898798228969,1.0,0.00039424881640946936
0.03599215636662661,1.0,0.0003974816260409274
0.03599443319838057,1.0,0.0003976762232618315
0.03599671031821345,1.0,0.0003983411991610188
0.03599898772617993,1.0,0.0003985649976805669
